"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 11 21:03:50 GMT 2025","Sun May 11 21:03:52 GMT 2025","1608","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","defaultViewTest","defaultViewTest()",""
"broken","Sun May 11 21:03:49 GMT 2025","Sun May 11 21:03:50 GMT 2025","1579","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchModalTest","launchModalTest()",""
"passed","Sun May 11 21:03:36 GMT 2025","Sun May 11 21:03:37 GMT 2025","917","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownDataListOptionsTest","dropDownDataListOptionsTest()",""
"passed","Sun May 11 21:03:39 GMT 2025","Sun May 11 21:03:40 GMT 2025","980","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownSelectTest","dropDownSelectTest()",""
"passed","Sun May 11 21:04:05 GMT 2025","Sun May 11 21:04:05 GMT 2025","519","","tests.components.HeaderTests","","tests.components.HeaderTests","homePageHeaderViewTest","homePageHeaderViewTest()",""
"passed","Sun May 11 21:03:40 GMT 2025","Sun May 11 21:03:41 GMT 2025","783","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","dropDownSelectOptionsTest","dropDownSelectOptionsTest()",""
"passed","Sun May 11 21:04:03 GMT 2025","Sun May 11 21:04:05 GMT 2025","1778","","tests.components.HeaderTests","","tests.components.HeaderTests","webFormHeaderLogoTest","webFormHeaderLogoTest()",""
"broken","Sun May 11 21:03:52 GMT 2025","Sun May 11 21:03:55 GMT 2025","2899","","tests.chapter4.browser_agnostic.DialogBoxesTests","","tests.chapter4.browser_agnostic.DialogBoxesTests","launchAlertTest","launchAlertTest()",""
"passed","Sun May 11 21:03:47 GMT 2025","Sun May 11 21:03:48 GMT 2025","752","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","readOnlyInputTest","readOnlyInputTest()",""
"broken","Sun May 11 21:03:45 GMT 2025","Sun May 11 21:03:47 GMT 2025","1846","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","radioButtonTest","radioButtonTest()",""
"passed","Sun May 11 21:03:38 GMT 2025","Sun May 11 21:03:39 GMT 2025","945","","tests.chapter3.fundamentals.WebFormTests","","tests.chapter3.fundamentals.WebFormTests","inputFieldsTest","inputFieldsTest()",""
"broken","Sun May 11 21:03:58 GMT 2025","Sun May 11 21:04:00 GMT 2025","1608","","tests.components.FooterTests","","tests.components.FooterTests","dialogBoxesHeaderDisplayTest","dialogBoxesHeaderDisplayTest()",""
